"id","year","short_title","notes","url","theme_title","start_date","end_date","city","state_province_region","country","references","contributors","attendance","entry_status","program_available","abstracts_available","search_text","label"
"62","1986","University of East Anglia, Norwich","http://users.ox.ac.uk/~lou/Reports/1986-04-02.html","","","1986-04-01","1986-04-04","Norwich","England","65","","","","n","False","False","1986 University of East Anglia, Norwich Norwich Institution object (1545) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1986 - University of East Anglia, Norwich"
"63","1987","Gothenburg","","","","1987-06-01","1987-06-05","Gothenborg","","34","GORDON DIXON, Report on the Fourteenth ALLC Conference, Literary and Linguistic Computing, Volume 2, Issue 4, 1987, Pages 265–268, https://doi.org/10.1093/llc/2.4.265

https://academic.oup.com/dsh/article-abstract/2/4/265/981974?redirectedFrom=fulltext","","","n","False","False","1987 Gothenburg Gothenborg Institution object (243) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1987 - Gothenburg"
"64","1988","Jerusaleum","http://fox.cs.vt.edu/VAD1//DOWN/IRLIST/V3/V3NO19

Diary, Literary and Linguistic Computing, Volume 3, Issue 1, 1988, Pages 52–53, https://doi.org/10.1093/llc/3.1.52 (https://academic.oup.com/dsh/article-pdf/3/1/52/10891212/52.pdf)","","","1988-06-05","1988-06-09","Jerusalem","","20","Yaacov Choueka, (ed.) 'Computers in Literary and Linguistic Research: Proceedings of the Fifteenth International ALLC Conference', Geneva: Slatkine, 1990.","","","n","False","False","1988 Jerusaleum Jerusalem Institution object (1949) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1988 - Jerusaleum"
"65","1974","King's College","A description of the program is available in the attached pdf, though it lacks titles for many of the article titles.","","","1974-12-13","1974-12-13","London","England","65","","","","c","False","False","1974 King's College London Institution object (384) International Meeting / Annual General Meeting of the Association for Literary and Linguistic Computing ALLC IM/AGM Association for Literary and Linguistic Computing ALLC","1974 - King's College"
"66","1975","Amsterdam","","https://www.aclweb.org/anthology/J79-1029.pdf","","1975-12-13","1975-12-13","Amsterdam","","1","https://www.aclweb.org/anthology/J79-1029.pdf - page 16
Smith, Joan M., ""Third Annual General Meeting, 1975: Minutes,"" Association for Literary and Linguistic Computing Bulletin 4, 1976, p. 55.","","","c","True","False","1975 Amsterdam Amsterdam International Meeting / Annual General Meeting of the Association for Literary and Linguistic Computing ALLC IM/AGM Association for Literary and Linguistic Computing ALLC","1975 - Amsterdam"
"67","1977","Liège","From Burnard's report, don't have titles, so using descriptions in lieu of titles for works.","","","1977-12-17","1977-12-17","Liège","","28","http://users.ox.ac.uk/~lou/Reports/1977-12-17.html","","""About 70 people, mostly European, attended.""","i","False","False","1977 Liège Liège Institution object (1861) International Meeting / Annual General Meeting of the Association for Literary and Linguistic Computing ALLC IM/AGM Association for Literary and Linguistic Computing ALLC","1977 - Liège"
"68","1978","King's College London","","","","1978-12-15","1978-12-15","London","England","65","http://users.ox.ac.uk/~lou/Reports/1978-12-15.html","","","c","True","False","1978 King's College London London Institution object (384) International Meeting / Annual General Meeting of the Association for Literary and Linguistic Computing ALLC IM/AGM Association for Literary and Linguistic Computing ALLC","1978 - King's College London"
"69","1980","Copenhagen","http://bora.uib.no/bitstream/handle/1956/19171/Humanistiske-data-1981-1.pdf.pdf?sequence=1&isAllowed=y

http://users.ox.ac.uk/~lou/Reports/1980-12-11.html","","","1980-12-11","1980-12-12","Copenhagen","","10","","","","n","False","False","1980 Copenhagen Copenhagen International Meeting / Annual General Meeting of the Association for Literary and Linguistic Computing ALLC IM/AGM Association for Literary and Linguistic Computing ALLC","1980 - Copenhagen"
"70","1981","Oxford","","","","","","Oxford","England","65","","","","n","False","False","1981 Oxford Oxford Institution object (575) International Meeting / Annual General Meeting of the Association for Literary and Linguistic Computing ALLC IM/AGM Association for Literary and Linguistic Computing ALLC","1981 - Oxford"
"71","1983","San Francisco, USA","","","","1983-04-06","1983-04-08","San Francisco","California","64","","","","n","False","False","1983 San Francisco, USA San Francisco International Meeting / Annual General Meeting of the Association for Literary and Linguistic Computing ALLC IM/AGM Association for Literary and Linguistic Computing ALLC","1983 - San Francisco, USA"
"72","1973","University of Minnesota","(Index appears in Trove link https://trove.nla.gov.au/work/21464850?q&versionId=25710395)
Items here are a selection of papers presented at the conference as published in ""Computers in the Humanities."" In all, 115 works were presented at the conference, but only a fraction were represented in those proceedings and are thus available in this index.","","","1973-07-20","1973-07-22","Minneapolis","Minnesota","64","Computers in the Humanities, ed. J. L. Mitchell, Edinburgh University Press, 1974 (proceedings of the conference held in Minneapolis, 1973).","","","i","True","False","1973 University of Minnesota Minneapolis University of Minnesota Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH The Association for Computers and the Humanities ACH","1973 - University of Minnesota"
"73","1975","University of Southern California, Los Angeles","Ad-Hoc Committee that would become ACH","","","1975-04-03","1975-04-06","Los Angeles","California","64","Hertlein, Grace C. ""Report on the 2nd International Conference on Computers and the Humanities, Los Angeles, Calif., U.S.A."" Leonardo, vol. 9 no. 1, 1976, p. 43-45. Project MUSE muse.jhu.edu/article/599400.","","","n","False","False","1975 University of Southern California, Los Angeles Los Angeles Institution object (926) Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH The Association for Computers and the Humanities ACH","1975 - University of Southern California, Los Angeles"
"74","1977","University of Waterloo, Ontario","Organized by the Ad-Hoc Committee that would become ACH.

Entries here from published proceeding, which constitute about under a third of the 100+ papers presented at the event itself.","","","1977-08-02","1977-08-05","Waterloo","Ontario","13","Computing in the Humanities, ed. S. Lusignan and J. North, University of Waterloo Press, 1977 (proceedings of the conference held in Waterloo, 1977).","","","i","True","False","1977 University of Waterloo, Ontario Waterloo Institution object (1130) Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH The Association for Computers and the Humanities ACH","1977 - University of Waterloo, Ontario"
"75","1979","Dartmouth","First ACH conference (ACH founded in 1978)","","","1979-08-20","1979-08-23","Hanover","NH","64","","","","n","False","False","1979 Dartmouth Hanover Institution object (148) Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH The Association for Computers and the Humanities ACH","1979 - Dartmouth"
"76","1981","University of Michigan","[Scott Weingart has index to proceedings in paper form. Published proceedings represent only a selection of the works presented at the conference, so this conference is still incomplete.]","","","1981-05-17","1981-05-20","Ann Arbor","MI","64","","","","i","True","False","1981 University of Michigan Ann Arbor Institution object (1014) Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH The Association for Computers and the Humanities ACH","1981 - University of Michigan"
"77","1983","North Carolina State University","Works based on printed proceedings index, and may be incomplete. Must attain print copy of proceedings, which will likely contain (at least) author 
affiliations.","","","1983-06-06","1983-06-08","Raleigh","North Carolina","64","Sixth International Conference on Computer and the Humanities, [North Carolina State University, Raleigh, North Carolina, June 6-8, 1983]; Sarah K Burton; Rockville, MD; Computer Science Press, 1983.","","","i","True","False","1983 North Carolina State University Raleigh North Carolina State University Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH The Association for Computers and the Humanities ACH","1983 - North Carolina State University"
"78","1985","BYU","Scott Weingart has a paper copy of the full conference program on file. To be scanned.","","","1985-06-26","1985-06-28","Provo, Utah","Utah","64","Proceedings of the 7th International Conference on Computers and the Humanities, Provo, Utah. Richardson, S.D. and L. C. Braden-Harder. 1988","","","c","True","True","1985 BYU Provo, Utah Institution object (77) Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH The Association for Computers and the Humanities ACH","1985 - BYU"
"79","1987","University of South Carolina","Scott Weingart has paper conference program, still needs to be scanned and entered.","","","1987-04-09","1987-04-12","Columbia","South Carolina","64","","","","c","True","True","1987 University of South Carolina Columbia Institution object (1080) Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH The Association for Computers and the Humanities ACH","1987 - University of South Carolina"
